,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1975,Chainlink,LINK,chainlink,1922,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america']",,638099970.4527867,1000000000.0,False,,11,,,,2025-01-27T22:37:00.000Z,24.01675234582432,1208901980.768565,139.3346,-0.09724328,-8.0059884,-5.99933038,8.72262157,33.68027413,105.02634314,15325088962.242393,0.4417,24016752345.82,,2025-01-27T22:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-27 17:39:28.598740
11,5805,Avalanche,AVAX,avalanche,854,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonbeam-ecosystem', 'real-world-assets', 'layer-1', 'zksync-era-ecosystem', 'klaytn-ecosystem', 'made-in-america']",715748719.0,411598171.1599857,449934471.1599857,False,,12,,,,2025-01-27T22:37:00.000Z,34.00926406473246,710803929.7513498,105.2605,-0.46202639,-8.59328174,-5.9004523,-10.12562463,-20.44361309,26.59960529,13998150891.540903,0.4036,24342087188.46,,2025-01-27T22:37:00.000Z,,,,,,2025-01-27 17:39:28.598740
12,11419,Toncoin,TON,toncoin,669,2021-08-26T13:40:22.000Z,"['pos', 'ethereum-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2489364311.9267893,5120878280.953287,True,,13,,,,2025-01-27T22:37:00.000Z,4.994988023333409,255362795.00426224,159.1344,0.16791563,-0.4675862,-0.71492718,-14.04317548,-22.98371627,-1.01655198,12434344923.787926,0.3584,25578725682.31,,2025-01-27T22:37:00.000Z,,,,,,2025-01-27 17:39:28.598740
13,512,Stellar,XLM,stellar,667,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30519746064.715298,50001786894.45155,False,,14,,,,2025-01-27T22:37:00.000Z,0.4037214810012912,737593590.8673577,196.1629,-0.69792634,-3.41175002,-10.56024415,13.37483796,-17.19157802,317.36793376,12321477081.030188,0.3553,20186803498.88,,2025-01-27T22:37:00.000Z,,,,,,2025-01-27 17:39:28.598740
14,4642,Hedera,HBAR,hedera,310,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,38267523240.48341,50000000000.0,False,,15,,,,2025-01-27T22:37:00.000Z,0.3139291934279002,753390324.1582382,40.215,-0.02004591,-5.68744658,-8.53039159,5.46930121,115.58077883,530.52515629,12013292705.368383,0.3462,15696459671.4,,2025-01-27T22:37:00.000Z,,,,,,2025-01-27 17:39:28.598740
0,1,Bitcoin,BTC,bitcoin,11884,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19815934.0,19815934.0,False,,1,,,,2025-01-27T22:39:00.000Z,101552.07889423455,91452676899.67812,389.5628,0.19844139,-2.89829974,-1.59684295,6.81958243,6.35929854,39.93471158,2012349292930.9448,57.9989,2132593656778.93,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
1,1027,Ethereum,ETH,ethereum,9899,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120510510.90226543,120510510.90226543,True,,2,,,,2025-01-27T22:39:00.000Z,3166.0017756291613,40831296522.28446,218.7633,0.18774115,-4.13008889,-4.3045682,-6.86650383,-11.86584229,20.09981518,381536491498.54974,10.9964,381536491498.55,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
2,52,XRP,XRP,xrp,1518,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america']",100000000000.0,57641211234.0,99986586496.0,False,,3,,,,2025-01-27T22:39:00.000Z,3.0195784619667587,16267513085.724535,454.5736,-0.48895421,-2.30722924,-4.06407056,37.73029401,101.82151606,471.90888247,174052159963.86276,5.0139,301957846196.68,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
3,825,Tether USDt,USDT,tether,114907,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem']",,139335051398.71902,141572991334.18033,True,,4,,,,2025-01-27T22:39:00.000Z,0.9998319167628594,167704136282.38568,191.8884,-0.01653489,-0.00688597,0.08809034,0.16727138,-0.02845281,0.01647734,139311631512.2328,4.0132,141549195287.51,,2025-01-27T22:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-01-27 17:40:29.554924
4,5426,Solana,SOL,solana,834,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america']",,486695020.02872294,592892487.4462395,True,,5,,,,2025-01-27T22:39:00.000Z,234.97851290102847,11263005248.737246,209.1203,0.28037629,-5.72764985,-4.74786316,20.93159106,-0.90999237,30.83767161,114362872042.68558,3.2961,139316995010.31,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
5,1839,BNB,BNB,bnb,2344,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142480880.11,142480880.11,False,,6,,,,2025-01-27T22:39:00.000Z,677.7880807388095,2362418675.147742,63.5588,0.34860736,-0.05459913,-0.61231278,-6.35913274,2.96892223,11.82832601,96571842271.73334,2.782,96571842271.73,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
6,3408,USDC,USDC,usd-coin,25233,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'wanchain-ecosystem', 'coinbase-ventures-portfolio', 'algorand-ecosystem', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'base-ecosystem', 'sei-ecosystem', 'multiversx-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'telos-ecosystem', 'ronin-ecosystem', 'boba-network-ecosystem', 'kava-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'elastos-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'evmos-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'thundercore-ecosystem', 'tomb-chain-ecosystem', 'wemix-ecosystem', 'sx-network-ecosystem', 'godwoken-ecosystem', 'energi-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'scroll-ecosystem', 'shido-network-ecosystem', 'made-in-america']",,52295268229.36136,52295268229.36136,False,,7,,,,2025-01-27T22:39:00.000Z,1.0000715525193886,14577604955.057667,149.8436,-0.01904844,-0.00439022,-0.00197681,0.00673908,0.01096605,0.01669525,52299010087.555275,1.5073,52299010087.56,,2025-01-27T22:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-01-27 17:40:29.554924
7,74,Dogecoin,DOGE,dogecoin,1158,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', 'made-in-america']",,147802066383.70514,147802066383.70514,True,,8,,,,2025-01-27T22:39:00.000Z,0.3309690948975646,4636168858.400233,333.8298,-0.09138649,-4.31947236,-7.39351352,2.49706765,-17.78558047,88.69274966,48917916135.00465,1.4092,48917916135.0,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
8,2010,Cardano,ADA,cardano,1452,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america']",45000000000.0,35180226133.471306,44995094872.69515,False,,9,,,,2025-01-27T22:39:00.000Z,0.9284111040075821,1427796036.7827966,179.2534,-0.69414797,-4.96474609,-8.82137652,4.12822857,-9.60496917,161.90873694,32661712583.812485,0.9414,41778499680.34,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
9,1958,TRON,TRX,tron,1113,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86131183750.70998,86131175514.58603,True,,10,,,,2025-01-27T22:39:00.000Z,0.24594608627314887,1162432733.8334234,197.7115,0.00307723,-1.99456481,2.59458924,-4.66229787,21.16209476,48.05544101,21183627549.560555,0.6105,21183625523.92,,2025-01-27T22:39:00.000Z,,,,,,2025-01-27 17:40:29.554924
